label,name,ipaddress,id,parentId
业务系统名称,省电子公文交换平台, ,1-1,
业务子系统名称,电子公文交换, ,2-1,1-1
一级服务目录,省直部门、16地市协同办公系统, ,3-1,2-1
二级服务目录,文件接收, ,4-1,3-1
二级服务目录,文件发送, ,4-2,3-1
二级服务目录,获取发送单位范围, ,4-3,3-1
二级服务目录,文件下载, ,4-4,3-1
资源,应用服务器2,15.208.0.128,5-1,4-1
资源,应用服务器1,15.208.0.127,5-2,4-1
资源,数据库服务器2,15.208.0.126,5-3,4-1
资源,数据库服务器1,15.208.0.125,5-4,4-1
资源,备用应用服务器1,15.30.5.14,5-5,4-1
资源,备用应用服务器2,15.30.5.22,5-6,4-1
资源,应用服务器2,15.208.0.128,5-7,4-2
资源,应用服务器1,15.208.0.127,5-8,4-2
资源,数据库服务器2,15.208.0.126,5-9,4-2
资源,数据库服务器1,15.208.0.125,5-10,4-2
资源,备用应用服务器1,15.30.5.14,5-11,4-2
资源,备用应用服务器2,15.30.5.22,5-12,4-2
资源,应用服务器2,15.208.0.128,5-1,4-3
资源,应用服务器1,15.208.0.127,5-2,4-3
资源,数据库服务器2,15.208.0.126,5-15,4-3
资源,数据库服务器1,15.208.0.125,5-16,4-3
资源,备用应用服务器1,15.30.5.14,5-17,4-3
资源,备用应用服务器2,15.30.5.22,5-18,4-3
资源,应用服务器2,15.208.0.128,5-1,4-4
资源,应用服务器1,15.208.0.127,5-2,4-4
资源,数据库服务器2,15.208.0.126,5-21,4-4
资源,数据库服务器1,15.208.0.125,5-22,4-4
资源,备用应用服务器1,15.30.5.14,5-23,4-4
资源,备用应用服务器2,15.30.5.22,5-24,4-4
